Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Troublemaker Headband,1,100.0,0.0,0,0,3
Black Dragon Troublemaker Headband,2,100.0,0.0,0,0,10
Black Dragon Troublemaker Headband,3,100.0,0.0,0,0,27
Black Dragon Troublemaker Headband,4,100.0,0.0,0,0,54
Black Dragon Troublemaker Headband,5,100.0,0.0,0,0,108
Black Dragon Troublemaker Headband,6,100.0,0.0,0,0,217
Black Dragon Troublemaker Headband,7,33.33,25.0,0,1,325
Black Dragon Troublemaker Headband,8,33.33,25.0,0,1,488
Black Dragon Troublemaker Headband,9,33.33,25.0,0,1,723
Black Dragon Troublemaker Headband,10,33.33,25.0,0,1,1085
Black Dragon Troublemaker Headband,11,33.33,25.0,0,1,1302
Black Dragon Troublemaker Headband,12,33.33,25.0,0,2,1519
Black Dragon Troublemaker Headband,13,15.0,25.0,1,2,1808
Black Dragon Troublemaker Headband,14,5.0,25.0,1,2,2712
Black Dragon Troublemaker Headband,15,1.0,25.0,1,2,4340
Black Dragon Troublemaker Onesie,1,100.0,0.0,0,0,7
Black Dragon Troublemaker Onesie,2,100.0,0.0,0,0,21
Black Dragon Troublemaker Onesie,3,100.0,0.0,0,0,54
Black Dragon Troublemaker Onesie,4,100.0,0.0,0,0,108
Black Dragon Troublemaker Onesie,5,100.0,0.0,0,0,217
Black Dragon Troublemaker Onesie,6,100.0,0.0,0,0,434
Black Dragon Troublemaker Onesie,7,33.33,25.0,0,1,651
Black Dragon Troublemaker Onesie,8,33.33,25.0,0,1,976
Black Dragon Troublemaker Onesie,9,33.33,25.0,0,1,1446
Black Dragon Troublemaker Onesie,10,33.33,25.0,0,1,2170
Black Dragon Troublemaker Onesie,11,33.33,25.0,0,1,2604
Black Dragon Troublemaker Onesie,12,33.33,25.0,0,2,3038
Black Dragon Troublemaker Onesie,13,15.0,25.0,1,2,3617
Black Dragon Troublemaker Onesie,14,5.0,25.0,1,2,5425
Black Dragon Troublemaker Onesie,15,1.0,25.0,1,2,8681
Black Dragon Troublemaker Leggings,1,100.0,0.0,0,0,6
Black Dragon Troublemaker Leggings,2,100.0,0.0,0,0,19
Black Dragon Troublemaker Leggings,3,100.0,0.0,0,0,48
Black Dragon Troublemaker Leggings,4,100.0,0.0,0,0,96
Black Dragon Troublemaker Leggings,5,100.0,0.0,0,0,192
Black Dragon Troublemaker Leggings,6,100.0,0.0,0,0,385
Black Dragon Troublemaker Leggings,7,33.33,25.0,0,1,578
Black Dragon Troublemaker Leggings,8,33.33,25.0,0,1,867
Black Dragon Troublemaker Leggings,9,33.33,25.0,0,1,1284
Black Dragon Troublemaker Leggings,10,33.33,25.0,0,1,1926
Black Dragon Troublemaker Leggings,11,33.33,25.0,0,1,2312
Black Dragon Troublemaker Leggings,12,33.33,25.0,0,2,2697
Black Dragon Troublemaker Leggings,13,15.0,25.0,1,2,3211
Black Dragon Troublemaker Leggings,14,5.0,25.0,1,2,4817
Black Dragon Troublemaker Leggings,15,1.0,25.0,1,2,7707
Black Dragon Troublemaker Mitten,1,100.0,0.0,0,0,2
Black Dragon Troublemaker Mitten,2,100.0,0.0,0,0,6
Black Dragon Troublemaker Mitten,3,100.0,0.0,0,0,15
Black Dragon Troublemaker Mitten,4,100.0,0.0,0,0,31
Black Dragon Troublemaker Mitten,5,100.0,0.0,0,0,62
Black Dragon Troublemaker Mitten,6,100.0,0.0,0,0,124
Black Dragon Troublemaker Mitten,7,33.33,25.0,0,1,186
Black Dragon Troublemaker Mitten,8,33.33,25.0,0,1,279
Black Dragon Troublemaker Mitten,9,33.33,25.0,0,1,413
Black Dragon Troublemaker Mitten,10,33.33,25.0,0,1,620
Black Dragon Troublemaker Mitten,11,33.33,25.0,0,1,744
Black Dragon Troublemaker Mitten,12,33.33,25.0,0,2,868
Black Dragon Troublemaker Mitten,13,15.0,25.0,1,2,1033
Black Dragon Troublemaker Mitten,14,5.0,25.0,1,2,1550
Black Dragon Troublemaker Mitten,15,1.0,25.0,1,2,2480
Black Dragon Troublemaker Booties,1,100.0,0.0,0,0,2
Black Dragon Troublemaker Booties,2,100.0,0.0,0,0,6
Black Dragon Troublemaker Booties,3,100.0,0.0,0,0,15
Black Dragon Troublemaker Booties,4,100.0,0.0,0,0,31
Black Dragon Troublemaker Booties,5,100.0,0.0,0,0,62
Black Dragon Troublemaker Booties,6,100.0,0.0,0,0,124
Black Dragon Troublemaker Booties,7,33.33,25.0,0,1,186
Black Dragon Troublemaker Booties,8,33.33,25.0,0,1,279
Black Dragon Troublemaker Booties,9,33.33,25.0,0,1,413
Black Dragon Troublemaker Booties,10,33.33,25.0,0,1,620
