Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Slaughter Mask,1,100.0,0.0,0,0,3
Black Dragon Slaughter Mask,2,100.0,0.0,0,0,10
Black Dragon Slaughter Mask,3,100.0,0.0,0,0,27
Black Dragon Slaughter Mask,4,100.0,0.0,0,0,54
Black Dragon Slaughter Mask,5,100.0,0.0,0,0,108
Black Dragon Slaughter Mask,6,100.0,0.0,0,0,217
Black Dragon Slaughter Mask,7,33.33,25.0,0,1,325
Black Dragon Slaughter Mask,8,33.33,25.0,0,1,488
Black Dragon Slaughter Mask,9,33.33,25.0,0,1,723
Black Dragon Slaughter Mask,10,33.33,25.0,0,1,1085
Black Dragon Slaughter Mask,11,33.33,25.0,0,1,1302
Black Dragon Slaughter Mask,12,33.33,25.0,0,2,1519
Black Dragon Slaughter Mask,13,15.0,25.0,1,2,1808
Black Dragon Slaughter Mask,14,5.0,25.0,1,2,2712
Black Dragon Slaughter Mask,15,1.0,25.0,1,2,4340
Black Dragon Slaughter Vest,1,100.0,0.0,0,0,7
Black Dragon Slaughter Vest,2,100.0,0.0,0,0,21
Black Dragon Slaughter Vest,3,100.0,0.0,0,0,54
Black Dragon Slaughter Vest,4,100.0,0.0,0,0,108
Black Dragon Slaughter Vest,5,100.0,0.0,0,0,217
Black Dragon Slaughter Vest,6,100.0,0.0,0,0,434
Black Dragon Slaughter Vest,7,33.33,25.0,0,1,651
Black Dragon Slaughter Vest,8,33.33,25.0,0,1,976
Black Dragon Slaughter Vest,9,33.33,25.0,0,1,1446
Black Dragon Slaughter Vest,10,33.33,25.0,0,1,2170
Black Dragon Slaughter Vest,11,33.33,25.0,0,1,2604
Black Dragon Slaughter Vest,12,33.33,25.0,0,2,3038
Black Dragon Slaughter Vest,13,15.0,25.0,1,2,3617
Black Dragon Slaughter Vest,14,5.0,25.0,1,2,5425
Black Dragon Slaughter Vest,15,1.0,25.0,1,2,8681
Black Dragon Slaughter Greaves,1,100.0,0.0,0,0,5
Black Dragon Slaughter Greaves,2,100.0,0.0,0,0,17
Black Dragon Slaughter Greaves,3,100.0,0.0,0,0,42
Black Dragon Slaughter Greaves,4,100.0,0.0,0,0,85
Black Dragon Slaughter Greaves,5,100.0,0.0,0,0,170
Black Dragon Slaughter Greaves,6,100.0,0.0,0,0,341
Black Dragon Slaughter Greaves,7,33.33,25.0,0,1,511
Black Dragon Slaughter Greaves,8,33.33,25.0,0,1,767
Black Dragon Slaughter Greaves,9,33.33,25.0,0,1,1136
Black Dragon Slaughter Greaves,10,33.33,25.0,0,1,1705
Black Dragon Slaughter Greaves,11,33.33,25.0,0,1,2046
Black Dragon Slaughter Greaves,12,33.33,25.0,0,2,2387
Black Dragon Slaughter Greaves,13,15.0,25.0,1,2,2842
Black Dragon Slaughter Greaves,14,5.0,25.0,1,2,4263
Black Dragon Slaughter Greaves,15,1.0,25.0,1,2,6820
Black Dragon Slaughter Wrist Guards,1,100.0,0.0,0,0,2
Black Dragon Slaughter Wrist Guards,2,100.0,0.0,0,0,7
Black Dragon Slaughter Wrist Guards,3,100.0,0.0,0,0,17
Black Dragon Slaughter Wrist Guards,4,100.0,0.0,0,0,35
Black Dragon Slaughter Wrist Guards,5,100.0,0.0,0,0,70
Black Dragon Slaughter Wrist Guards,6,100.0,0.0,0,0,140
Black Dragon Slaughter Wrist Guards,7,33.33,25.0,0,1,210
Black Dragon Slaughter Wrist Guards,8,33.33,25.0,0,1,315
Black Dragon Slaughter Wrist Guards,9,33.33,25.0,0,1,467
Black Dragon Slaughter Wrist Guards,10,33.33,25.0,0,1,700
Black Dragon Slaughter Wrist Guards,11,33.33,25.0,0,1,840
Black Dragon Slaughter Wrist Guards,12,33.33,25.0,0,2,980
Black Dragon Slaughter Wrist Guards,13,15.0,25.0,1,2,1167
Black Dragon Slaughter Wrist Guards,14,5.0,25.0,1,2,1751
Black Dragon Slaughter Wrist Guards,15,1.0,25.0,1,2,2802
Black Dragon Slaughter Sandals,1,100.0,0.0,0,0,2
Black Dragon Slaughter Sandals,2,100.0,0.0,0,0,7
Black Dragon Slaughter Sandals,3,100.0,0.0,0,0,17
Black Dragon Slaughter Sandals,4,100.0,0.0,0,0,35
Black Dragon Slaughter Sandals,5,100.0,0.0,0,0,70
Black Dragon Slaughter Sandals,6,100.0,0.0,0,0,140
Black Dragon Slaughter Sandals,7,33.33,25.0,0,1,210
Black Dragon Slaughter Sandals,8,33.33,25.0,0,1,315
Black Dragon Slaughter Sandals,9,33.33,25.0,0,1,467
Black Dragon Slaughter Sandals,10,33.33,25.0,0,1,700
Black Dragon Slaughter Sandals,11,33.33,25.0,0,1,840
Black Dragon Slaughter Sandals,12,33.33,25.0,0,2,980
Black Dragon Slaughter Sandals,13,15.0,25.0,1,2,1167
Black Dragon Slaughter Sandals,14,5.0,25.0,1,2,1751
Black Dragon Slaughter Sandals,15,1.0,25.0,1,2,2802
Black Dragon Slaughter Scimitar,1,100.0,0.0,0,0,23
Black Dragon Slaughter Scimitar,2,100.0,0.0,0,0,70
Black Dragon Slaughter Scimitar,3,100.0,0.0,0,0,175
Black Dragon Slaughter Scimitar,4,100.0,0.0,0,0,350
Black Dragon Slaughter Scimitar,5,100.0,0.0,0,0,700
Black Dragon Slaughter Scimitar,6,100.0,0.0,0,0,1401
Black Dragon Slaughter Scimitar,7,33.33,25.0,0,1,2102
Black Dragon Slaughter Scimitar,8,33.33,25.0,0,1,3153
Black Dragon Slaughter Scimitar,9,33.33,25.0,0,1,4671
Black Dragon Slaughter Scimitar,10,33.33,25.0,0,1,7006
Black Dragon Slaughter Scimitar,11,33.33,25.0,0,1,8408
Black Dragon Slaughter Scimitar,12,33.33,25.0,0,2,9809
Black Dragon Slaughter Scimitar,13,15.0,25.0,1,2,11678
Black Dragon Slaughter Scimitar,14,5.0,25.0,1,2,17517
Black Dragon Slaughter Scimitar,15,1.0,25.0,1,2,28027
Black Dragon Slaughter Arm Blade,1,100.0,0.0,0,0,10
Black Dragon Slaughter Arm Blade,2,100.0,0.0,0,0,31
Black Dragon Slaughter Arm Blade,3,100.0,0.0,0,0,77
Black Dragon Slaughter Arm Blade,4,100.0,0.0,0,0,155
Black Dragon Slaughter Arm Blade,5,100.0,0.0,0,0,310
Black Dragon Slaughter Arm Blade,6,100.0,0.0,0,0,620
Black Dragon Slaughter Arm Blade,7,33.33,25.0,0,1,930
Black Dragon Slaughter Arm Blade,8,33.33,25.0,0,1,1395
Black Dragon Slaughter Arm Blade,9,33.33,25.0,0,1,2066
Black Dragon Slaughter Arm Blade,10,33.33,25.0,0,1,3100
Black Dragon Slaughter Arm Blade,11,33.33,25.0,0,1,3720
Black Dragon Slaughter Arm Blade,12,33.33,25.0,0,2,4340
Black Dragon Slaughter Arm Blade,13,15.0,25.0,1,2,5167
Black Dragon Slaughter Arm Blade,14,5.0,25.0,1,2,7751
Black Dragon Slaughter Arm Blade,15,1.0,25.0,1,2,12401
