Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Dancer Orni,1,100.0,0.0,0,0,3
Black Dragon Dancer Orni,2,100.0,0.0,0,0,10
Black Dragon Dancer Orni,3,100.0,0.0,0,0,27
Black Dragon Dancer Orni,4,100.0,0.0,0,0,54
Black Dragon Dancer Orni,5,100.0,0.0,0,0,108
Black Dragon Dancer Orni,6,100.0,0.0,0,0,217
Black Dragon Dancer Orni,7,33.33,25.0,0,1,325
Black Dragon Dancer Orni,8,33.33,25.0,0,1,488
Black Dragon Dancer Orni,9,33.33,25.0,0,1,723
Black Dragon Dancer Orni,10,33.33,25.0,0,1,1085
Black Dragon Dancer Orni,11,33.33,25.0,0,1,1302
Black Dragon Dancer Orni,12,33.33,25.0,0,2,1519
Black Dragon Dancer Orni,13,15.0,25.0,1,2,1808
Black Dragon Dancer Orni,14,5.0,25.0,1,2,2712
Black Dragon Dancer Orni,15,1.0,25.0,1,2,4340
Black Dragon Dancer Chori,1,100.0,0.0,0,0,7
Black Dragon Dancer Chori,2,100.0,0.0,0,0,21
Black Dragon Dancer Chori,3,100.0,0.0,0,0,54
Black Dragon Dancer Chori,4,100.0,0.0,0,0,108
Black Dragon Dancer Chori,5,100.0,0.0,0,0,217
Black Dragon Dancer Chori,6,100.0,0.0,0,0,434
Black Dragon Dancer Chori,7,33.33,25.0,0,1,651
Black Dragon Dancer Chori,8,33.33,25.0,0,1,976
Black Dragon Dancer Chori,9,33.33,25.0,0,1,1446
Black Dragon Dancer Chori,10,33.33,25.0,0,1,2170
Black Dragon Dancer Chori,11,33.33,25.0,0,1,2604
Black Dragon Dancer Chori,12,33.33,25.0,0,2,3038
Black Dragon Dancer Chori,13,15.0,25.0,1,2,3617
Black Dragon Dancer Chori,14,5.0,25.0,1,2,5425
Black Dragon Dancer Chori,15,1.0,25.0,1,2,8681
Black Dragon Dancer Salwar,1,100.0,0.0,0,0,5
Black Dragon Dancer Salwar,2,100.0,0.0,0,0,17
Black Dragon Dancer Salwar,3,100.0,0.0,0,0,42
Black Dragon Dancer Salwar,4,100.0,0.0,0,0,85
Black Dragon Dancer Salwar,5,100.0,0.0,0,0,170
Black Dragon Dancer Salwar,6,100.0,0.0,0,0,341
Black Dragon Dancer Salwar,7,33.33,25.0,0,1,511
Black Dragon Dancer Salwar,8,33.33,25.0,0,1,767
Black Dragon Dancer Salwar,9,33.33,25.0,0,1,1136
Black Dragon Dancer Salwar,10,33.33,25.0,0,1,1705
Black Dragon Dancer Salwar,11,33.33,25.0,0,1,2046
Black Dragon Dancer Salwar,12,33.33,25.0,0,2,2387
Black Dragon Dancer Salwar,13,15.0,25.0,1,2,2842
Black Dragon Dancer Salwar,14,5.0,25.0,1,2,4263
Black Dragon Dancer Salwar,15,1.0,25.0,1,2,6820
Black Dragon Dancer Rakki,1,100.0,0.0,0,0,2
Black Dragon Dancer Rakki,2,100.0,0.0,0,0,7
Black Dragon Dancer Rakki,3,100.0,0.0,0,0,17
Black Dragon Dancer Rakki,4,100.0,0.0,0,0,35
Black Dragon Dancer Rakki,5,100.0,0.0,0,0,70
Black Dragon Dancer Rakki,6,100.0,0.0,0,0,140
Black Dragon Dancer Rakki,7,33.33,25.0,0,1,210
Black Dragon Dancer Rakki,8,33.33,25.0,0,1,315
Black Dragon Dancer Rakki,9,33.33,25.0,0,1,467
Black Dragon Dancer Rakki,10,33.33,25.0,0,1,700
Black Dragon Dancer Rakki,11,33.33,25.0,0,1,840
Black Dragon Dancer Rakki,12,33.33,25.0,0,2,980
Black Dragon Dancer Rakki,13,15.0,25.0,1,2,1167
Black Dragon Dancer Rakki,14,5.0,25.0,1,2,1751
Black Dragon Dancer Rakki,15,1.0,25.0,1,2,2802
Black Dragon Dancer Jutti,1,100.0,0.0,0,0,2
Black Dragon Dancer Jutti,2,100.0,0.0,0,0,7
Black Dragon Dancer Jutti,3,100.0,0.0,0,0,17
Black Dragon Dancer Jutti,4,100.0,0.0,0,0,35
Black Dragon Dancer Jutti,5,100.0,0.0,0,0,70
Black Dragon Dancer Jutti,6,100.0,0.0,0,0,140
Black Dragon Dancer Jutti,7,33.33,25.0,0,1,210
Black Dragon Dancer Jutti,8,33.33,25.0,0,1,315
Black Dragon Dancer Jutti,9,33.33,25.0,0,1,467
Black Dragon Dancer Jutti,10,33.33,25.0,0,1,700
Black Dragon Dancer Jutti,11,33.33,25.0,0,1,840
Black Dragon Dancer Jutti,12,33.33,25.0,0,2,980
Black Dragon Dancer Jutti,13,15.0,25.0,1,2,1167
Black Dragon Dancer Jutti,14,5.0,25.0,1,2,1751
Black Dragon Dancer Jutti,15,1.0,25.0,1,2,2802
Black Dragon Dancer Chakram,1,100.0,0.0,0,0,23
Black Dragon Dancer Chakram,2,100.0,0.0,0,0,70
Black Dragon Dancer Chakram,3,100.0,0.0,0,0,175
Black Dragon Dancer Chakram,4,100.0,0.0,0,0,350
Black Dragon Dancer Chakram,5,100.0,0.0,0,0,700
Black Dragon Dancer Chakram,6,100.0,0.0,0,0,1401
Black Dragon Dancer Chakram,7,33.33,25.0,0,1,2102
Black Dragon Dancer Chakram,8,33.33,25.0,0,1,3153
Black Dragon Dancer Chakram,9,33.33,25.0,0,1,4671
Black Dragon Dancer Chakram,10,33.33,25.0,0,1,7006
Black Dragon Dancer Chakram,11,33.33,25.0,0,1,8408
Black Dragon Dancer Chakram,12,33.33,25.0,0,2,9809
Black Dragon Dancer Chakram,13,15.0,25.0,1,2,11678
Black Dragon Dancer Chakram,14,5.0,25.0,1,2,17517
Black Dragon Dancer Chakram,15,1.0,25.0,1,2,28027
Black Dragon Dancer Charm,1,100.0,0.0,0,0,11
Black Dragon Dancer Charm,2,100.0,0.0,0,0,35
Black Dragon Dancer Charm,3,100.0,0.0,0,0,87
Black Dragon Dancer Charm,4,100.0,0.0,0,0,175
Black Dragon Dancer Charm,5,100.0,0.0,0,0,350
Black Dragon Dancer Charm,6,100.0,0.0,0,0,700
Black Dragon Dancer Charm,7,33.33,25.0,0,1,1051
