Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Terminator Tiara,1,100.0,0.0,0,0,3
Black Dragon Terminator Tiara,2,100.0,0.0,0,0,10
Black Dragon Terminator Tiara,3,100.0,0.0,0,0,27
Black Dragon Terminator Tiara,4,100.0,0.0,0,0,54
Black Dragon Terminator Tiara,5,100.0,0.0,0,0,108
Black Dragon Terminator Tiara,6,100.0,0.0,0,0,217
Black Dragon Terminator Tiara,7,33.33,25.0,0,1,325
Black Dragon Terminator Tiara,8,33.33,25.0,0,1,488
Black Dragon Terminator Tiara,9,33.33,25.0,0,1,723
Black Dragon Terminator Tiara,10,33.33,25.0,0,1,1085
Black Dragon Terminator Tiara,11,33.33,25.0,0,1,1302
Black Dragon Terminator Tiara,12,33.33,25.0,0,2,1519
Black Dragon Terminator Tiara,13,15.0,25.0,1,2,1808
Black Dragon Terminator Tiara,14,5.0,25.0,1,2,2712
Black Dragon Terminator Tiara,15,1.0,25.0,1,2,4340
Black Dragon Terminator Robe,1,100.0,0.0,0,0,8
Black Dragon Terminator Robe,2,100.0,0.0,0,0,24
Black Dragon Terminator Robe,3,100.0,0.0,0,0,61
Black Dragon Terminator Robe,4,100.0,0.0,0,0,122
Black Dragon Terminator Robe,5,100.0,0.0,0,0,245
Black Dragon Terminator Robe,6,100.0,0.0,0,0,490
Black Dragon Terminator Robe,7,33.33,25.0,0,1,735
Black Dragon Terminator Robe,8,33.33,25.0,0,1,1103
Black Dragon Terminator Robe,9,33.33,25.0,0,1,1634
Black Dragon Terminator Robe,10,33.33,25.0,0,1,2452
Black Dragon Terminator Robe,11,33.33,25.0,0,1,2942
Black Dragon Terminator Robe,12,33.33,25.0,0,2,3433
Black Dragon Terminator Robe,13,15.0,25.0,1,2,4087
Black Dragon Terminator Robe,14,5.0,25.0,1,2,6131
Black Dragon Terminator Robe,15,1.0,25.0,1,2,9809
Black Dragon Terminator Tights,1,100.0,0.0,0,0,5
Black Dragon Terminator Tights,2,100.0,0.0,0,0,17
Black Dragon Terminator Tights,3,100.0,0.0,0,0,42
Black Dragon Terminator Tights,4,100.0,0.0,0,0,85
Black Dragon Terminator Tights,5,100.0,0.0,0,0,170
Black Dragon Terminator Tights,6,100.0,0.0,0,0,341
Black Dragon Terminator Tights,7,33.33,25.0,0,1,511
Black Dragon Terminator Tights,8,33.33,25.0,0,1,767
Black Dragon Terminator Tights,9,33.33,25.0,0,1,1136
Black Dragon Terminator Tights,10,33.33,25.0,0,1,1705
Black Dragon Terminator Tights,11,33.33,25.0,0,1,2046
Black Dragon Terminator Tights,12,33.33,25.0,0,2,2387
Black Dragon Terminator Tights,13,15.0,25.0,1,2,2842
Black Dragon Terminator Tights,14,5.0,25.0,1,2,4263
Black Dragon Terminator Tights,15,1.0,25.0,1,2,6820
Black Dragon Terminator Muff,1,100.0,0.0,0,0,2
Black Dragon Terminator Muff,2,100.0,0.0,0,0,6
Black Dragon Terminator Muff,3,100.0,0.0,0,0,15
Black Dragon Terminator Muff,4,100.0,0.0,0,0,31
Black Dragon Terminator Muff,5,100.0,0.0,0,0,62
Black Dragon Terminator Muff,6,100.0,0.0,0,0,124
Black Dragon Terminator Muff,7,33.33,25.0,0,1,186
Black Dragon Terminator Muff,8,33.33,25.0,0,1,279
Black Dragon Terminator Muff,9,33.33,25.0,0,1,413
Black Dragon Terminator Muff,10,33.33,25.0,0,1,620
Black Dragon Terminator Muff,11,33.33,25.0,0,1,744
Black Dragon Terminator Muff,12,33.33,25.0,0,2,868
Black Dragon Terminator Muff,13,15.0,25.0,1,2,1033
Black Dragon Terminator Muff,14,5.0,25.0,1,2,1550
Black Dragon Terminator Muff,15,1.0,25.0,1,2,2480
Black Dragon Terminator Heels,1,100.0,0.0,0,0,2
Black Dragon Terminator Heels,2,100.0,0.0,0,0,7
Black Dragon Terminator Heels,3,100.0,0.0,0,0,17
Black Dragon Terminator Heels,4,100.0,0.0,0,0,35
Black Dragon Terminator Heels,5,100.0,0.0,0,0,70
Black Dragon Terminator Heels,6,100.0,0.0,0,0,140
Black Dragon Terminator Heels,7,33.33,25.0,0,1,210
Black Dragon Terminator Heels,8,33.33,25.0,0,1,315
Black Dragon Terminator Heels,9,33.33,25.0,0,1,467
Black Dragon Terminator Heels,10,33.33,25.0,0,1,700
Black Dragon Terminator Heels,11,33.33,25.0,0,1,840
Black Dragon Terminator Heels,12,33.33,25.0,0,2,980
Black Dragon Terminator Heels,13,15.0,25.0,1,2,1167
Black Dragon Terminator Heels,14,5.0,25.0,1,2,1751
Black Dragon Terminator Heels,15,1.0,25.0,1,2,2802
Black Dragon Terminator Staff,1,100.0,0.0,0,0,10
Black Dragon Terminator Staff,2,100.0,0.0,0,0,31
Black Dragon Terminator Staff,3,100.0,0.0,0,0,77
Black Dragon Terminator Staff,4,100.0,0.0,0,0,155
Black Dragon Terminator Staff,5,100.0,0.0,0,0,310
Black Dragon Terminator Staff,6,100.0,0.0,0,0,620
Black Dragon Terminator Staff,7,33.33,25.0,0,1,930
Black Dragon Terminator Staff,8,33.33,25.0,0,1,1395
Black Dragon Terminator Staff,9,33.33,25.0,0,1,2066
Black Dragon Terminator Staff,10,33.33,25.0,0,1,3100
Black Dragon Terminator Staff,11,33.33,25.0,0,1,3720
Black Dragon Terminator Staff,12,33.33,25.0,0,2,4340
Black Dragon Terminator Staff,13,15.0,25.0,1,2,5167
Black Dragon Terminator Staff,14,5.0,25.0,1,2,7751
Black Dragon Terminator Staff,15,1.0,25.0,1,2,12401
Black Dragon Terminator Orb,1,100.0,0.0,0,0,23
Black Dragon Terminator Orb,2,100.0,0.0,0,0,70
Black Dragon Terminator Orb,3,100.0,0.0,0,0,175
Black Dragon Terminator Orb,4,100.0,0.0,0,0,350
Black Dragon Terminator Orb,5,100.0,0.0,0,0,700
Black Dragon Terminator Orb,6,100.0,0.0,0,0,1401
Black Dragon Terminator Orb,7,33.33,25.0,0,1,2102
Black Dragon Terminator Orb,8,33.33,25.0,0,1,3153
Black Dragon Terminator Orb,9,33.33,25.0,0,1,4671
Black Dragon Terminator Orb,10,33.33,25.0,0,1,7006
Black Dragon Terminator Orb,11,33.33,25.0,0,1,8408
Black Dragon Terminator Orb,12,33.33,25.0,0,2,9809
Black Dragon Terminator Orb,13,15.0,25.0,1,2,11678
Black Dragon Terminator Orb,14,5.0,25.0,1,2,17517
Black Dragon Terminator Orb,15,1.0,25.0,1,2,28027
Black Dragon Terminator Spellbook,1,100.0,0.0,0,0,20
Black Dragon Terminator Spellbook,2,100.0,0.0,0,0,62
Black Dragon Terminator Spellbook,3,100.0,0.0,0,0,155
Black Dragon Terminator Spellbook,4,100.0,0.0,0,0,310
Black Dragon Terminator Spellbook,5,100.0,0.0,0,0,620
Black Dragon Terminator Spellbook,6,100.0,0.0,0,0,1240
Black Dragon Terminator Spellbook,7,33.33,25.0,0,1,1860
Black Dragon Terminator Spellbook,8,33.33,25.0,0,1,2790
Black Dragon Terminator Spellbook,9,33.33,25.0,0,1,4133
Black Dragon Terminator Spellbook,10,33.33,25.0,0,1,6200
Black Dragon Terminator Spellbook,11,33.33,25.0,0,1,7441
Black Dragon Terminator Spellbook,12,33.33,25.0,0,2,8681
Black Dragon Terminator Spellbook,13,15.0,25.0,1,2,10334
Black Dragon Terminator Spellbook,14,5.0,25.0,1,2,15502
Black Dragon Terminator Spellbook,15,1.0,25.0,1,2,24803
Black Dragon Terminator Voodoo Doll,1,100.0,0.0,0,0,20
Black Dragon Terminator Voodoo Doll,2,100.0,0.0,0,0,62
Black Dragon Terminator Voodoo Doll,3,100.0,0.0,0,0,155
Black Dragon Terminator Voodoo Doll,4,100.0,0.0,0,0,310
Black Dragon Terminator Voodoo Doll,5,100.0,0.0,0,0,620
Black Dragon Terminator Voodoo Doll,6,100.0,0.0,0,0,1240
Black Dragon Terminator Voodoo Doll,7,33.33,25.0,0,1,1860
Black Dragon Terminator Voodoo Doll,8,33.33,25.0,0,1,2790
Black Dragon Terminator Voodoo Doll,9,33.33,25.0,0,1,4133
Black Dragon Terminator Voodoo Doll,10,33.33,25.0,0,1,6200
Black Dragon Terminator Voodoo Doll,11,33.33,25.0,0,1,7441
Black Dragon Terminator Voodoo Doll,12,33.33,25.0,0,2,8681
Black Dragon Terminator Voodoo Doll,13,15.0,25.0,1,2,10334
Black Dragon Terminator Voodoo Doll,14,5.0,25.0,1,2,15502
Black Dragon Terminator Voodoo Doll,15,1.0,25.0,1,2,24803
