Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Coordinator Beret,1,100.0,0.0,0,0,4
Black Dragon Coordinator Beret,2,100.0,0.0,0,0,12
Black Dragon Coordinator Beret,3,100.0,0.0,0,0,30
Black Dragon Coordinator Beret,4,100.0,0.0,0,0,61
Black Dragon Coordinator Beret,5,100.0,0.0,0,0,122
Black Dragon Coordinator Beret,6,100.0,0.0,0,0,245
Black Dragon Coordinator Beret,7,33.33,25.0,0,1,367
Black Dragon Coordinator Beret,8,33.33,25.0,0,1,551
Black Dragon Coordinator Beret,9,33.33,25.0,0,1,817
Black Dragon Coordinator Beret,10,33.33,25.0,0,1,1226
Black Dragon Coordinator Beret,11,33.33,25.0,0,1,1471
Black Dragon Coordinator Beret,12,33.33,25.0,0,2,1716
Black Dragon Coordinator Beret,13,15.0,25.0,1,2,2043
Black Dragon Coordinator Beret,14,5.0,25.0,1,2,3065
Black Dragon Coordinator Beret,15,1.0,25.0,1,2,4904
Black Dragon Coordinator Tunic,1,100.0,0.0,0,0,8
Black Dragon Coordinator Tunic,2,100.0,0.0,0,0,24
Black Dragon Coordinator Tunic,3,100.0,0.0,0,0,61
Black Dragon Coordinator Tunic,4,100.0,0.0,0,0,122
Black Dragon Coordinator Tunic,5,100.0,0.0,0,0,245
Black Dragon Coordinator Tunic,6,100.0,0.0,0,0,490
Black Dragon Coordinator Tunic,7,33.33,25.0,0,1,735
Black Dragon Coordinator Tunic,8,33.33,25.0,0,1,1103
Black Dragon Coordinator Tunic,9,33.33,25.0,0,1,1634
Black Dragon Coordinator Tunic,10,33.33,25.0,0,1,2452
Black Dragon Coordinator Tunic,11,33.33,25.0,0,1,2942
Black Dragon Coordinator Tunic,12,33.33,25.0,0,2,3433
Black Dragon Coordinator Tunic,13,15.0,25.0,1,2,4087
Black Dragon Coordinator Tunic,14,5.0,25.0,1,2,6131
Black Dragon Coordinator Tunic,15,1.0,25.0,1,2,9809
Black Dragon Coordinator Slacks,1,100.0,0.0,0,0,6
Black Dragon Coordinator Slacks,2,100.0,0.0,0,0,19
Black Dragon Coordinator Slacks,3,100.0,0.0,0,0,48
Black Dragon Coordinator Slacks,4,100.0,0.0,0,0,96
Black Dragon Coordinator Slacks,5,100.0,0.0,0,0,192
Black Dragon Coordinator Slacks,6,100.0,0.0,0,0,385
Black Dragon Coordinator Slacks,7,33.33,25.0,0,1,578
Black Dragon Coordinator Slacks,8,33.33,25.0,0,1,867
Black Dragon Coordinator Slacks,9,33.33,25.0,0,1,1284
Black Dragon Coordinator Slacks,10,33.33,25.0,0,1,1926
Black Dragon Coordinator Slacks,11,33.33,25.0,0,1,2312
Black Dragon Coordinator Slacks,12,33.33,25.0,0,2,2697
Black Dragon Coordinator Slacks,13,15.0,25.0,1,2,3211
Black Dragon Coordinator Slacks,14,5.0,25.0,1,2,4817
Black Dragon Coordinator Slacks,15,1.0,25.0,1,2,7707
Black Dragon Coordinator Power Mitten,1,100.0,0.0,0,0,2
Black Dragon Coordinator Power Mitten,2,100.0,0.0,0,0,7
Black Dragon Coordinator Power Mitten,3,100.0,0.0,0,0,17
Black Dragon Coordinator Power Mitten,4,100.0,0.0,0,0,35
Black Dragon Coordinator Power Mitten,5,100.0,0.0,0,0,70
Black Dragon Coordinator Power Mitten,6,100.0,0.0,0,0,140
Black Dragon Coordinator Power Mitten,7,33.33,25.0,0,1,210
Black Dragon Coordinator Power Mitten,8,33.33,25.0,0,1,315
Black Dragon Coordinator Power Mitten,9,33.33,25.0,0,1,467
Black Dragon Coordinator Power Mitten,10,33.33,25.0,0,1,700
Black Dragon Coordinator Power Mitten,11,33.33,25.0,0,1,840
Black Dragon Coordinator Power Mitten,12,33.33,25.0,0,2,980
Black Dragon Coordinator Power Mitten,13,15.0,25.0,1,2,1167
