Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Contractor Tiara,1,100.0,0.0,0,0,3
Black Dragon Contractor Tiara,2,100.0,0.0,0,0,10
Black Dragon Contractor Tiara,3,100.0,0.0,0,0,27
Black Dragon Contractor Tiara,4,100.0,0.0,0,0,54
Black Dragon Contractor Tiara,5,100.0,0.0,0,0,108
Black Dragon Contractor Tiara,6,100.0,0.0,0,0,217
Black Dragon Contractor Tiara,7,33.33,25.0,0,1,325
Black Dragon Contractor Tiara,8,33.33,25.0,0,1,488
Black Dragon Contractor Tiara,9,33.33,25.0,0,1,723
Black Dragon Contractor Tiara,10,33.33,25.0,0,1,1085
Black Dragon Contractor Tiara,11,33.33,25.0,0,1,1302
Black Dragon Contractor Tiara,12,33.33,25.0,0,2,1519
Black Dragon Contractor Tiara,13,15.0,25.0,1,2,1808
Black Dragon Contractor Tiara,14,5.0,25.0,1,2,2712
Black Dragon Contractor Tiara,15,1.0,25.0,1,2,4340
Black Dragon Contractor Robe,1,100.0,0.0,0,0,8
Black Dragon Contractor Robe,2,100.0,0.0,0,0,24
Black Dragon Contractor Robe,3,100.0,0.0,0,0,61
Black Dragon Contractor Robe,4,100.0,0.0,0,0,122
Black Dragon Contractor Robe,5,100.0,0.0,0,0,245
Black Dragon Contractor Robe,6,100.0,0.0,0,0,490
Black Dragon Contractor Robe,7,33.33,25.0,0,1,735
Black Dragon Contractor Robe,8,33.33,25.0,0,1,1103
Black Dragon Contractor Robe,9,33.33,25.0,0,1,1634
Black Dragon Contractor Robe,10,33.33,25.0,0,1,2452
Black Dragon Contractor Robe,11,33.33,25.0,0,1,2942
Black Dragon Contractor Robe,12,33.33,25.0,0,2,3433
Black Dragon Contractor Robe,13,15.0,25.0,1,2,4087
Black Dragon Contractor Robe,14,5.0,25.0,1,2,6131
Black Dragon Contractor Robe,15,1.0,25.0,1,2,9809
Black Dragon Contractor Tights,1,100.0,0.0,0,0,5
Black Dragon Contractor Tights,2,100.0,0.0,0,0,17
Black Dragon Contractor Tights,3,100.0,0.0,0,0,42
Black Dragon Contractor Tights,4,100.0,0.0,0,0,85
Black Dragon Contractor Tights,5,100.0,0.0,0,0,170
Black Dragon Contractor Tights,6,100.0,0.0,0,0,341
Black Dragon Contractor Tights,7,33.33,25.0,0,1,511
Black Dragon Contractor Tights,8,33.33,25.0,0,1,767
Black Dragon Contractor Tights,9,33.33,25.0,0,1,1136
Black Dragon Contractor Tights,10,33.33,25.0,0,1,1705
Black Dragon Contractor Tights,11,33.33,25.0,0,1,2046
Black Dragon Contractor Tights,12,33.33,25.0,0,2,2387
Black Dragon Contractor Tights,13,15.0,25.0,1,2,2842
Black Dragon Contractor Tights,14,5.0,25.0,1,2,4263
Black Dragon Contractor Tights,15,1.0,25.0,1,2,6820
Black Dragon Contractor Muff,1,100.0,0.0,0,0,2
Black Dragon Contractor Muff,2,100.0,0.0,0,0,6
Black Dragon Contractor Muff,3,100.0,0.0,0,0,15
Black Dragon Contractor Muff,4,100.0,0.0,0,0,31
Black Dragon Contractor Muff,5,100.0,0.0,0,0,62
Black Dragon Contractor Muff,6,100.0,0.0,0,0,124
Black Dragon Contractor Muff,7,33.33,25.0,0,1,186
Black Dragon Contractor Muff,8,33.33,25.0,0,1,279
Black Dragon Contractor Muff,9,33.33,25.0,0,1,413
Black Dragon Contractor Muff,10,33.33,25.0,0,1,620
Black Dragon Contractor Muff,11,33.33,25.0,0,1,744
Black Dragon Contractor Muff,12,33.33,25.0,0,2,868
Black Dragon Contractor Muff,13,15.0,25.0,1,2,1033
Black Dragon Contractor Muff,14,5.0,25.0,1,2,1550
Black Dragon Contractor Muff,15,1.0,25.0,1,2,2480
Black Dragon Contractor Heels,1,100.0,0.0,0,0,2
Black Dragon Contractor Heels,2,100.0,0.0,0,0,6
Black Dragon Contractor Heels,3,100.0,0.0,0,0,15
Black Dragon Contractor Heels,4,100.0,0.0,0,0,31
