Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Illumia Helmet,1,100.0,0.0,0,0,4
Black Dragon Illumia Helmet,2,100.0,0.0,0,0,12
Black Dragon Illumia Helmet,3,100.0,0.0,0,0,30
Black Dragon Illumia Helmet,4,100.0,0.0,0,0,61
Black Dragon Illumia Helmet,5,100.0,0.0,0,0,122
Black Dragon Illumia Helmet,6,100.0,0.0,0,0,245
Black Dragon Illumia Helmet,7,33.33,25.0,0,1,367
Black Dragon Illumia Helmet,8,33.33,25.0,0,1,551
Black Dragon Illumia Helmet,9,33.33,25.0,0,1,817
Black Dragon Illumia Helmet,10,33.33,25.0,0,1,1226
Black Dragon Illumia Helmet,11,33.33,25.0,0,1,1471
Black Dragon Illumia Helmet,12,33.33,25.0,0,2,1716
Black Dragon Illumia Helmet,13,15.0,25.0,1,2,2043
Black Dragon Illumia Helmet,14,5.0,25.0,1,2,3065
Black Dragon Illumia Helmet,15,1.0,25.0,1,2,4904
Black Dragon Illumia Shirt,1,100.0,0.0,0,0,7
Black Dragon Illumia Shirt,2,100.0,0.0,0,0,21
Black Dragon Illumia Shirt,3,100.0,0.0,0,0,54
Black Dragon Illumia Shirt,4,100.0,0.0,0,0,108
Black Dragon Illumia Shirt,5,100.0,0.0,0,0,217
Black Dragon Illumia Shirt,6,100.0,0.0,0,0,434
Black Dragon Illumia Shirt,7,33.33,25.0,0,1,651
Black Dragon Illumia Shirt,8,33.33,25.0,0,1,976
Black Dragon Illumia Shirt,9,33.33,25.0,0,1,1446
Black Dragon Illumia Shirt,10,33.33,25.0,0,1,2170
Black Dragon Illumia Shirt,11,33.33,25.0,0,1,2604
Black Dragon Illumia Shirt,12,33.33,25.0,0,2,3038
Black Dragon Illumia Shirt,13,15.0,25.0,1,2,3617
Black Dragon Illumia Shirt,14,5.0,25.0,1,2,5425
Black Dragon Illumia Shirt,15,1.0,25.0,1,2,8681
Black Dragon Illumia Pants,1,100.0,0.0,0,0,6
Black Dragon Illumia Pants,2,100.0,0.0,0,0,19
Black Dragon Illumia Pants,3,100.0,0.0,0,0,48
Black Dragon Illumia Pants,4,100.0,0.0,0,0,96
Black Dragon Illumia Pants,5,100.0,0.0,0,0,192
Black Dragon Illumia Pants,6,100.0,0.0,0,0,385
Black Dragon Illumia Pants,7,33.33,25.0,0,1,578
Black Dragon Illumia Pants,8,33.33,25.0,0,1,867
Black Dragon Illumia Pants,9,33.33,25.0,0,1,1284
Black Dragon Illumia Pants,10,33.33,25.0,0,1,1926
Black Dragon Illumia Pants,11,33.33,25.0,0,1,2312
Black Dragon Illumia Pants,12,33.33,25.0,0,2,2697
Black Dragon Illumia Pants,13,15.0,25.0,1,2,3211
Black Dragon Illumia Pants,14,5.0,25.0,1,2,4817
Black Dragon Illumia Pants,15,1.0,25.0,1,2,7707
Black Dragon Illumia Gloves,1,100.0,0.0,0,0,2
