Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Guardian Knight Galero,1,100.0,0.0,0,0,4
Black Dragon Guardian Knight Galero,2,100.0,0.0,0,0,12
Black Dragon Guardian Knight Galero,3,100.0,0.0,0,0,30
Black Dragon Guardian Knight Galero,4,100.0,0.0,0,0,61
Black Dragon Guardian Knight Galero,5,100.0,0.0,0,0,122
Black Dragon Guardian Knight Galero,6,100.0,0.0,0,0,245
Black Dragon Guardian Knight Galero,7,33.33,25.0,0,1,367
Black Dragon Guardian Knight Galero,8,33.33,25.0,0,1,551
Black Dragon Guardian Knight Galero,9,33.33,25.0,0,1,817
Black Dragon Guardian Knight Galero,10,33.33,25.0,0,1,1226
Black Dragon Guardian Knight Galero,11,33.33,25.0,0,1,1471
Black Dragon Guardian Knight Galero,12,33.33,25.0,0,2,1716
Black Dragon Guardian Knight Galero,13,15.0,25.0,1,2,2043
Black Dragon Guardian Knight Galero,14,5.0,25.0,1,2,3065
Black Dragon Guardian Knight Galero,15,1.0,25.0,1,2,4904
Black Dragon Guardian Knight Armour,1,100.0,0.0,0,0,8
Black Dragon Guardian Knight Armour,2,100.0,0.0,0,0,24
Black Dragon Guardian Knight Armour,3,100.0,0.0,0,0,61
Black Dragon Guardian Knight Armour,4,100.0,0.0,0,0,122
Black Dragon Guardian Knight Armour,5,100.0,0.0,0,0,245
Black Dragon Guardian Knight Armour,6,100.0,0.0,0,0,490
Black Dragon Guardian Knight Armour,7,33.33,25.0,0,1,735
Black Dragon Guardian Knight Armour,8,33.33,25.0,0,1,1103
Black Dragon Guardian Knight Armour,9,33.33,25.0,0,1,1634
Black Dragon Guardian Knight Armour,10,33.33,25.0,0,1,2452
Black Dragon Guardian Knight Armour,11,33.33,25.0,0,1,2942
Black Dragon Guardian Knight Armour,12,33.33,25.0,0,2,3433
Black Dragon Guardian Knight Armour,13,15.0,25.0,1,2,4087
Black Dragon Guardian Knight Armour,14,5.0,25.0,1,2,6131
Black Dragon Guardian Knight Armour,15,1.0,25.0,1,2,9809
Black Dragon Guardian Knight Trousers,1,100.0,0.0,0,0,6
Black Dragon Guardian Knight Trousers,2,100.0,0.0,0,0,19
Black Dragon Guardian Knight Trousers,3,100.0,0.0,0,0,48
Black Dragon Guardian Knight Trousers,4,100.0,0.0,0,0,96
Black Dragon Guardian Knight Trousers,5,100.0,0.0,0,0,192
Black Dragon Guardian Knight Trousers,6,100.0,0.0,0,0,385
Black Dragon Guardian Knight Trousers,7,33.33,25.0,0,1,578
Black Dragon Guardian Knight Trousers,8,33.33,25.0,0,1,867
Black Dragon Guardian Knight Trousers,9,33.33,25.0,0,1,1284
Black Dragon Guardian Knight Trousers,10,33.33,25.0,0,1,1926
Black Dragon Guardian Knight Trousers,11,33.33,25.0,0,1,2312
Black Dragon Guardian Knight Trousers,12,33.33,25.0,0,2,2697
Black Dragon Guardian Knight Trousers,13,15.0,25.0,1,2,3211
Black Dragon Guardian Knight Trousers,14,5.0,25.0,1,2,4817
Black Dragon Guardian Knight Trousers,15,1.0,25.0,1,2,7707
Black Dragon Guardian Knight Cuffs,1,100.0,0.0,0,0,2
Black Dragon Guardian Knight Cuffs,2,100.0,0.0,0,0,7
Black Dragon Guardian Knight Cuffs,3,100.0,0.0,0,0,17
Black Dragon Guardian Knight Cuffs,4,100.0,0.0,0,0,35
Black Dragon Guardian Knight Cuffs,5,100.0,0.0,0,0,70
Black Dragon Guardian Knight Cuffs,6,100.0,0.0,0,0,140
Black Dragon Guardian Knight Cuffs,7,33.33,25.0,0,1,210
Black Dragon Guardian Knight Cuffs,8,33.33,25.0,0,1,315
