Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Saviour Galero,1,100.0,0.0,0,0,4
Black Dragon Saviour Galero,2,100.0,0.0,0,0,12
Black Dragon Saviour Galero,3,100.0,0.0,0,0,30
Black Dragon Saviour Galero,4,100.0,0.0,0,0,61
Black Dragon Saviour Galero,5,100.0,0.0,0,0,122
Black Dragon Saviour Galero,6,100.0,0.0,0,0,245
Black Dragon Saviour Galero,7,33.33,25.0,0,1,367
Black Dragon Saviour Galero,8,33.33,25.0,0,1,551
Black Dragon Saviour Galero,9,33.33,25.0,0,1,817
Black Dragon Saviour Galero,10,33.33,25.0,0,1,1226
Black Dragon Saviour Galero,11,33.33,25.0,0,1,1471
Black Dragon Saviour Galero,12,33.33,25.0,0,2,1716
Black Dragon Saviour Galero,13,15.0,25.0,1,2,2043
Black Dragon Saviour Galero,14,5.0,25.0,1,2,3065
Black Dragon Saviour Galero,15,1.0,25.0,1,2,4904
Black Dragon Saviour Armour,1,100.0,0.0,0,0,8
Black Dragon Saviour Armour,2,100.0,0.0,0,0,24
Black Dragon Saviour Armour,3,100.0,0.0,0,0,61
Black Dragon Saviour Armour,4,100.0,0.0,0,0,122
Black Dragon Saviour Armour,5,100.0,0.0,0,0,245
Black Dragon Saviour Armour,6,100.0,0.0,0,0,490
Black Dragon Saviour Armour,7,33.33,25.0,0,1,735
Black Dragon Saviour Armour,8,33.33,25.0,0,1,1103
Black Dragon Saviour Armour,9,33.33,25.0,0,1,1634
Black Dragon Saviour Armour,10,33.33,25.0,0,1,2452
Black Dragon Saviour Armour,11,33.33,25.0,0,1,2942
Black Dragon Saviour Armour,12,33.33,25.0,0,2,3433
Black Dragon Saviour Armour,13,15.0,25.0,1,2,4087
Black Dragon Saviour Armour,14,5.0,25.0,1,2,6131
Black Dragon Saviour Armour,15,1.0,25.0,1,2,9809
Black Dragon Saviour Trousers,1,100.0,0.0,0,0,5
Black Dragon Saviour Trousers,2,100.0,0.0,0,0,17
Black Dragon Saviour Trousers,3,100.0,0.0,0,0,42
Black Dragon Saviour Trousers,4,100.0,0.0,0,0,85
Black Dragon Saviour Trousers,5,100.0,0.0,0,0,170
Black Dragon Saviour Trousers,6,100.0,0.0,0,0,341
Black Dragon Saviour Trousers,7,33.33,25.0,0,1,511
Black Dragon Saviour Trousers,8,33.33,25.0,0,1,767
Black Dragon Saviour Trousers,9,33.33,25.0,0,1,1136
Black Dragon Saviour Trousers,10,33.33,25.0,0,1,1705
Black Dragon Saviour Trousers,11,33.33,25.0,0,1,2046
Black Dragon Saviour Trousers,12,33.33,25.0,0,2,2387
Black Dragon Saviour Trousers,13,15.0,25.0,1,2,2842
Black Dragon Saviour Trousers,14,5.0,25.0,1,2,4263
Black Dragon Saviour Trousers,15,1.0,25.0,1,2,6820
Black Dragon Saviour Cuffs,1,100.0,0.0,0,0,2
Black Dragon Saviour Cuffs,2,100.0,0.0,0,0,7
Black Dragon Saviour Cuffs,3,100.0,0.0,0,0,17
Black Dragon Saviour Cuffs,4,100.0,0.0,0,0,35
Black Dragon Saviour Cuffs,5,100.0,0.0,0,0,70
Black Dragon Saviour Cuffs,6,100.0,0.0,0,0,140
Black Dragon Saviour Cuffs,7,33.33,25.0,0,1,210
Black Dragon Saviour Cuffs,8,33.33,25.0,0,1,315
Black Dragon Saviour Cuffs,9,33.33,25.0,0,1,467
Black Dragon Saviour Cuffs,10,33.33,25.0,0,1,700
Black Dragon Saviour Cuffs,11,33.33,25.0,0,1,840
Black Dragon Saviour Cuffs,12,33.33,25.0,0,2,980
Black Dragon Saviour Cuffs,13,15.0,25.0,1,2,1167
Black Dragon Saviour Cuffs,14,5.0,25.0,1,2,1751
Black Dragon Saviour Cuffs,15,1.0,25.0,1,2,2802
Black Dragon Saviour Shoes,1,100.0,0.0,0,0,2
Black Dragon Saviour Shoes,2,100.0,0.0,0,0,6
Black Dragon Saviour Shoes,3,100.0,0.0,0,0,15
Black Dragon Saviour Shoes,4,100.0,0.0,0,0,31
Black Dragon Saviour Shoes,5,100.0,0.0,0,0,62
Black Dragon Saviour Shoes,6,100.0,0.0,0,0,124
Black Dragon Saviour Shoes,7,33.33,25.0,0,1,186
Black Dragon Saviour Shoes,8,33.33,25.0,0,1,279
Black Dragon Saviour Shoes,9,33.33,25.0,0,1,413
Black Dragon Saviour Shoes,10,33.33,25.0,0,1,620
Black Dragon Saviour Shoes,11,33.33,25.0,0,1,744
Black Dragon Saviour Shoes,12,33.33,25.0,0,2,868
Black Dragon Saviour Shoes,13,15.0,25.0,1,2,1033
Black Dragon Saviour Shoes,14,5.0,25.0,1,2,1550
Black Dragon Saviour Shoes,15,1.0,25.0,1,2,2480
Black Dragon Saviour Wand,1,100.0,0.0,0,0,20
Black Dragon Saviour Wand,2,100.0,0.0,0,0,62
Black Dragon Saviour Wand,3,100.0,0.0,0,0,155
Black Dragon Saviour Wand,4,100.0,0.0,0,0,310
Black Dragon Saviour Wand,5,100.0,0.0,0,0,620
Black Dragon Saviour Wand,6,100.0,0.0,0,0,1240
Black Dragon Saviour Wand,7,33.33,25.0,0,1,1860
Black Dragon Saviour Wand,8,33.33,25.0,0,1,2790
Black Dragon Saviour Wand,9,33.33,25.0,0,1,4133
Black Dragon Saviour Wand,10,33.33,25.0,0,1,6200
Black Dragon Saviour Wand,11,33.33,25.0,0,1,7441
Black Dragon Saviour Wand,12,33.33,25.0,0,2,8681
Black Dragon Saviour Wand,13,15.0,25.0,1,2,10334
Black Dragon Saviour Wand,14,5.0,25.0,1,2,15502
Black Dragon Saviour Wand,15,1.0,25.0,1,2,24803
Black Dragon Saviour Shield,1,100.0,0.0,0,0,10
Black Dragon Saviour Shield,2,100.0,0.0,0,0,31
Black Dragon Saviour Shield,3,100.0,0.0,0,0,77
Black Dragon Saviour Shield,4,100.0,0.0,0,0,155
Black Dragon Saviour Shield,5,100.0,0.0,0,0,310
Black Dragon Saviour Shield,6,100.0,0.0,0,0,620
Black Dragon Saviour Shield,7,33.33,25.0,0,1,930
Black Dragon Saviour Shield,8,33.33,25.0,0,1,1395
Black Dragon Saviour Shield,9,33.33,25.0,0,1,2066
Black Dragon Saviour Shield,10,33.33,25.0,0,1,3100
Black Dragon Saviour Shield,11,33.33,25.0,0,1,3720
Black Dragon Saviour Shield,12,33.33,25.0,0,2,4340
Black Dragon Saviour Shield,13,15.0,25.0,1,2,5167
Black Dragon Saviour Shield,14,5.0,25.0,1,2,7751
Black Dragon Saviour Shield,15,1.0,25.0,1,2,12401
