Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Soul handler Orni,1,100.0,0.0,0,0,3
Black Dragon Soul handler Orni,2,100.0,0.0,0,0,10
Black Dragon Soul handler Orni,3,100.0,0.0,0,0,27
Black Dragon Soul handler Orni,4,100.0,0.0,0,0,54
Black Dragon Soul handler Orni,5,100.0,0.0,0,0,108
Black Dragon Soul handler Orni,6,100.0,0.0,0,0,217
Black Dragon Soul handler Orni,7,33.33,25.0,0,1,325
Black Dragon Soul handler Orni,8,33.33,25.0,0,1,488
Black Dragon Soul handler Orni,9,33.33,25.0,0,1,723
Black Dragon Soul handler Orni,10,33.33,25.0,0,1,1085
Black Dragon Soul handler Orni,11,33.33,25.0,0,1,1302
Black Dragon Soul handler Orni,12,33.33,25.0,0,2,1519
Black Dragon Soul handler Orni,13,15.0,25.0,1,2,1808
Black Dragon Soul handler Orni,14,5.0,25.0,1,2,2712
Black Dragon Soul handler Orni,15,1.0,25.0,1,2,4340
Black Dragon Soul handler Chori,1,100.0,0.0,0,0,8
Black Dragon Soul handler Chori,2,100.0,0.0,0,0,24
Black Dragon Soul handler Chori,3,100.0,0.0,0,0,61
Black Dragon Soul handler Chori,4,100.0,0.0,0,0,122
Black Dragon Soul handler Chori,5,100.0,0.0,0,0,245
Black Dragon Soul handler Chori,6,100.0,0.0,0,0,490
Black Dragon Soul handler Chori,7,33.33,25.0,0,1,735
Black Dragon Soul handler Chori,8,33.33,25.0,0,1,1103
Black Dragon Soul handler Chori,9,33.33,25.0,0,1,1634
Black Dragon Soul handler Chori,10,33.33,25.0,0,1,2452
Black Dragon Soul handler Chori,11,33.33,25.0,0,1,2942
Black Dragon Soul handler Chori,12,33.33,25.0,0,2,3433
Black Dragon Soul handler Chori,13,15.0,25.0,1,2,4087
Black Dragon Soul handler Chori,14,5.0,25.0,1,2,6131
Black Dragon Soul handler Chori,15,1.0,25.0,1,2,9809
Black Dragon Soul handler Salwar,1,100.0,0.0,0,0,6
Black Dragon Soul handler Salwar,2,100.0,0.0,0,0,19
Black Dragon Soul handler Salwar,3,100.0,0.0,0,0,48
Black Dragon Soul handler Salwar,4,100.0,0.0,0,0,96
Black Dragon Soul handler Salwar,5,100.0,0.0,0,0,192
Black Dragon Soul handler Salwar,6,100.0,0.0,0,0,385
Black Dragon Soul handler Salwar,7,33.33,25.0,0,1,578
Black Dragon Soul handler Salwar,8,33.33,25.0,0,1,867
Black Dragon Soul handler Salwar,9,33.33,25.0,0,1,1284
Black Dragon Soul handler Salwar,10,33.33,25.0,0,1,1926
Black Dragon Soul handler Salwar,11,33.33,25.0,0,1,2312
Black Dragon Soul handler Salwar,12,33.33,25.0,0,2,2697
Black Dragon Soul handler Salwar,13,15.0,25.0,1,2,3211
Black Dragon Soul handler Salwar,14,5.0,25.0,1,2,4817
Black Dragon Soul handler Salwar,15,1.0,25.0,1,2,7707
Black Dragon Soul handler Rakki,1,100.0,0.0,0,0,2
Black Dragon Soul handler Rakki,2,100.0,0.0,0,0,7
Black Dragon Soul handler Rakki,3,100.0,0.0,0,0,17
Black Dragon Soul handler Rakki,4,100.0,0.0,0,0,35
