Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Tracker Headband,1,100.0,0.0,0,0,3
Black Dragon Tracker Headband,2,100.0,0.0,0,0,10
Black Dragon Tracker Headband,3,100.0,0.0,0,0,27
Black Dragon Tracker Headband,4,100.0,0.0,0,0,54
Black Dragon Tracker Headband,5,100.0,0.0,0,0,108
Black Dragon Tracker Headband,6,100.0,0.0,0,0,217
Black Dragon Tracker Headband,7,33.33,25.0,0,1,325
Black Dragon Tracker Headband,8,33.33,25.0,0,1,488
Black Dragon Tracker Headband,9,33.33,25.0,0,1,723
Black Dragon Tracker Headband,10,33.33,25.0,0,1,1085
Black Dragon Tracker Headband,11,33.33,25.0,0,1,1302
Black Dragon Tracker Headband,12,33.33,25.0,0,2,1519
Black Dragon Tracker Headband,13,15.0,25.0,1,2,1808
Black Dragon Tracker Headband,14,5.0,25.0,1,2,2712
Black Dragon Tracker Headband,15,1.0,25.0,1,2,4340
Black Dragon Tracker Onesie,1,100.0,0.0,0,0,8
Black Dragon Tracker Onesie,2,100.0,0.0,0,0,24
Black Dragon Tracker Onesie,3,100.0,0.0,0,0,61
Black Dragon Tracker Onesie,4,100.0,0.0,0,0,122
Black Dragon Tracker Onesie,5,100.0,0.0,0,0,245
Black Dragon Tracker Onesie,6,100.0,0.0,0,0,490
Black Dragon Tracker Onesie,7,33.33,25.0,0,1,735
Black Dragon Tracker Onesie,8,33.33,25.0,0,1,1103
Black Dragon Tracker Onesie,9,33.33,25.0,0,1,1634
Black Dragon Tracker Onesie,10,33.33,25.0,0,1,2452
Black Dragon Tracker Onesie,11,33.33,25.0,0,1,2942
Black Dragon Tracker Onesie,12,33.33,25.0,0,2,3433
Black Dragon Tracker Onesie,13,15.0,25.0,1,2,4087
Black Dragon Tracker Onesie,14,5.0,25.0,1,2,6131
Black Dragon Tracker Onesie,15,1.0,25.0,1,2,9809
Black Dragon Tracker Leggings,1,100.0,0.0,0,0,5
Black Dragon Tracker Leggings,2,100.0,0.0,0,0,17
Black Dragon Tracker Leggings,3,100.0,0.0,0,0,42
Black Dragon Tracker Leggings,4,100.0,0.0,0,0,85
Black Dragon Tracker Leggings,5,100.0,0.0,0,0,170
Black Dragon Tracker Leggings,6,100.0,0.0,0,0,341
Black Dragon Tracker Leggings,7,33.33,25.0,0,1,511
