Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Black Dragon Destroyer Helmet,1,100.0,0.0,0,0,4
Black Dragon Destroyer Helmet,2,100.0,0.0,0,0,12
Black Dragon Destroyer Helmet,3,100.0,0.0,0,0,30
Black Dragon Destroyer Helmet,4,100.0,0.0,0,0,61
Black Dragon Destroyer Helmet,5,100.0,0.0,0,0,122
Black Dragon Destroyer Helmet,6,100.0,0.0,0,0,245
Black Dragon Destroyer Helmet,7,33.33,25.0,0,1,367
Black Dragon Destroyer Helmet,8,33.33,25.0,0,1,551
Black Dragon Destroyer Helmet,9,33.33,25.0,0,1,817
Black Dragon Destroyer Helmet,10,33.33,25.0,0,1,1226
Black Dragon Destroyer Helmet,11,33.33,25.0,0,1,1471
Black Dragon Destroyer Helmet,12,33.33,25.0,0,2,1716
Black Dragon Destroyer Helmet,13,15.0,25.0,1,2,2043
Black Dragon Destroyer Helmet,14,5.0,25.0,1,2,3065
Black Dragon Destroyer Helmet,15,1.0,25.0,1,2,4904
Black Dragon Destroyer Shirt,1,100.0,0.0,0,0,8
Black Dragon Destroyer Shirt,2,100.0,0.0,0,0,24
Black Dragon Destroyer Shirt,3,100.0,0.0,0,0,61
Black Dragon Destroyer Shirt,4,100.0,0.0,0,0,122
Black Dragon Destroyer Shirt,5,100.0,0.0,0,0,245
Black Dragon Destroyer Shirt,6,100.0,0.0,0,0,490
Black Dragon Destroyer Shirt,7,33.33,25.0,0,1,735
Black Dragon Destroyer Shirt,8,33.33,25.0,0,1,1103
Black Dragon Destroyer Shirt,9,33.33,25.0,0,1,1634
Black Dragon Destroyer Shirt,10,33.33,25.0,0,1,2452
Black Dragon Destroyer Shirt,11,33.33,25.0,0,1,2942
Black Dragon Destroyer Shirt,12,33.33,25.0,0,2,3433
Black Dragon Destroyer Shirt,13,15.0,25.0,1,2,4087
Black Dragon Destroyer Shirt,14,5.0,25.0,1,2,6131
Black Dragon Destroyer Shirt,15,1.0,25.0,1,2,9809
Black Dragon Destroyer Pants,1,100.0,0.0,0,0,5
Black Dragon Destroyer Pants,2,100.0,0.0,0,0,17
Black Dragon Destroyer Pants,3,100.0,0.0,0,0,42
Black Dragon Destroyer Pants,4,100.0,0.0,0,0,85
Black Dragon Destroyer Pants,5,100.0,0.0,0,0,170
Black Dragon Destroyer Pants,6,100.0,0.0,0,0,341
Black Dragon Destroyer Pants,7,33.33,25.0,0,1,511
