Item Name,EnchantLevel,EnchantRatio,BreakRatio,MinDowngrade,MaxDowngrade,Gold
Ancient Totem Arm Blade,1,100.0,0.0,0,0,0
Ancient Totem Arm Blade,2,100.0,0.0,0,0,0
Ancient Totem Arm Blade,3,100.0,0.0,0,0,0
Ancient Totem Arm Blade,4,100.0,0.0,0,0,1
Ancient Totem Arm Blade,5,100.0,0.0,0,0,1
Ancient Totem Arm Blade,6,100.0,0.0,0,0,1
Ancient Totem Arm Blade,7,45.0,25.0,0,1,1
Ancient Totem Arm Blade,8,40.0,25.0,0,2,1
Ancient Totem Arm Blade,9,35.0,25.0,0,2,1
Ancient Totem Arm Blade,10,30.0,25.0,1,2,3
Ancient Totem Arm Blade,11,25.0,25.0,1,2,4
Ancient Totem Arm Blade,12,20.0,25.0,1,2,7
Ancient Totem Arm Blade,13,15.0,25.0,1,2,12
Ancient Totem Arm Blade,14,5.0,25.0,1,2,18
Ancient Totem Arm Blade,15,1.0,25.0,1,2,30
Ancient Totem Armour,1,100.0,0.0,0,0,0
Ancient Totem Armour,2,100.0,0.0,0,0,0
Ancient Totem Armour,3,100.0,0.0,0,0,0
Ancient Totem Armour,4,100.0,0.0,0,0,0
Ancient Totem Armour,5,100.0,0.0,0,0,0
Ancient Totem Armour,6,100.0,0.0,0,0,0
Ancient Totem Armour,7,45.0,25.0,0,1,1
Ancient Totem Armour,8,40.0,25.0,0,2,1
Ancient Totem Armour,9,35.0,25.0,0,2,1
Ancient Totem Armour,10,30.0,25.0,1,2,2
Ancient Totem Armour,11,25.0,25.0,1,2,3
Ancient Totem Armour,12,20.0,25.0,1,2,5
Ancient Totem Armour,13,15.0,25.0,1,2,8
Ancient Totem Armour,14,5.0,25.0,1,2,12
Ancient Totem Armour,15,1.0,25.0,1,2,21
Ancient Totem Axe,1,100.0,0.0,0,0,1
Ancient Totem Axe,2,100.0,0.0,0,0,1
Ancient Totem Axe,3,100.0,0.0,0,0,1
Ancient Totem Axe,4,100.0,0.0,0,0,2
Ancient Totem Axe,5,100.0,0.0,0,0,2
Ancient Totem Axe,6,100.0,0.0,0,0,2
Ancient Totem Axe,7,45.0,25.0,0,1,3
Ancient Totem Axe,8,40.0,25.0,0,2,3
Ancient Totem Axe,9,35.0,25.0,0,2,3
Ancient Totem Axe,10,30.0,25.0,1,2,6
Ancient Totem Axe,11,25.0,25.0,1,2,9
Ancient Totem Axe,12,20.0,25.0,1,2,14
Ancient Totem Axe,13,15.0,25.0,1,2,24
Ancient Totem Axe,14,5.0,25.0,1,2,36
Ancient Totem Axe,15,1.0,25.0,1,2,61
Ancient Totem Beret,1,100.0,0.0,0,0,0
Ancient Totem Beret,2,100.0,0.0,0,0,0
Ancient Totem Beret,3,100.0,0.0,0,0,0
Ancient Totem Beret,4,100.0,0.0,0,0,0
Ancient Totem Beret,5,100.0,0.0,0,0,0
Ancient Totem Beret,6,100.0,0.0,0,0,0
Ancient Totem Beret,7,45.0,25.0,0,1,0
Ancient Totem Beret,8,40.0,25.0,0,2,0
Ancient Totem Beret,9,35.0,25.0,0,2,0
Ancient Totem Beret,10,30.0,25.0,1,2,1
Ancient Totem Beret,11,25.0,25.0,1,2,1
Ancient Totem Beret,12,20.0,25.0,1,2,2
Ancient Totem Beret,13,15.0,25.0,1,2,4
Ancient Totem Beret,14,5.0,25.0,1,2,6
Ancient Totem Beret,15,1.0,25.0,1,2,10
Ancient Totem Blouse,1,100.0,0.0,0,0,0
Ancient Totem Blouse,2,100.0,0.0,0,0,0
Ancient Totem Blouse,3,100.0,0.0,0,0,0
Ancient Totem Blouse,4,100.0,0.0,0,0,0
Ancient Totem Blouse,5,100.0,0.0,0,0,0
Ancient Totem Blouse,6,100.0,0.0,0,0,0
Ancient Totem Blouse,7,45.0,25.0,0,1,1
Ancient Totem Blouse,8,40.0,25.0,0,2,1
Ancient Totem Blouse,9,35.0,25.0,0,2,1
Ancient Totem Blouse,10,30.0,25.0,1,2,2
Ancient Totem Blouse,11,25.0,25.0,1,2,3
Ancient Totem Blouse,12,20.0,25.0,1,2,5
Ancient Totem Blouse,13,15.0,25.0,1,2,8
Ancient Totem Blouse,14,5.0,25.0,1,2,12
Ancient Totem Blouse,15,1.0,25.0,1,2,21
Ancient Totem Bonnet,1,100.0,0.0,0,0,0
Ancient Totem Bonnet,2,100.0,0.0,0,0,0
Ancient Totem Bonnet,3,100.0,0.0,0,0,0
Ancient Totem Bonnet,4,100.0,0.0,0,0,0
Ancient Totem Bonnet,5,100.0,0.0,0,0,0
Ancient Totem Bonnet,6,100.0,0.0,0,0,0
Ancient Totem Bonnet,7,45.0,25.0,0,1,0
Ancient Totem Bonnet,8,40.0,25.0,0,2,0
Ancient Totem Bonnet,9,35.0,25.0,0,2,0
Ancient Totem Bonnet,10,30.0,25.0,1,2,1
Ancient Totem Bonnet,11,25.0,25.0,1,2,1
Ancient Totem Bonnet,12,20.0,25.0,1,2,2
Ancient Totem Bonnet,13,15.0,25.0,1,2,4
Ancient Totem Bonnet,14,5.0,25.0,1,2,6
Ancient Totem Bonnet,15,1.0,25.0,1,2,10
Ancient Totem Booties,1,100.0,0.0,0,0,0
Ancient Totem Booties,2,100.0,0.0,0,0,0
Ancient Totem Booties,3,100.0,0.0,0,0,0
Ancient Totem Booties,4,100.0,0.0,0,0,0
Ancient Totem Booties,5,100.0,0.0,0,0,0
Ancient Totem Booties,6,100.0,0.0,0,0,0
Ancient Totem Booties,7,45.0,25.0,0,1,0
Ancient Totem Booties,8,40.0,25.0,0,2,0
Ancient Totem Booties,9,35.0,25.0,0,2,0
Ancient Totem Booties,10,30.0,25.0,1,2,0
Ancient Totem Booties,11,25.0,25.0,1,2,0
Ancient Totem Booties,12,20.0,25.0,1,2,1
Ancient Totem Booties,13,15.0,25.0,1,2,2
Ancient Totem Booties,14,5.0,25.0,1,2,3
Ancient Totem Booties,15,1.0,25.0,1,2,6
Ancient Totem Boots,1,100.0,0.0,0,0,0
Ancient Totem Boots,2,100.0,0.0,0,0,0
Ancient Totem Boots,3,100.0,0.0,0,0,0
Ancient Totem Boots,4,100.0,0.0,0,0,0
Ancient Totem Boots,5,100.0,0.0,0,0,0
Ancient Totem Boots,6,100.0,0.0,0,0,0
Ancient Totem Boots,7,45.0,25.0,0,1,0
Ancient Totem Boots,8,40.0,25.0,0,2,0
Ancient Totem Boots,9,35.0,25.0,0,2,0
Ancient Totem Boots,10,30.0,25.0,1,2,0
Ancient Totem Boots,11,25.0,25.0,1,2,0
Ancient Totem Boots,12,20.0,25.0,1,2,1
Ancient Totem Boots,13,15.0,25.0,1,2,2
Ancient Totem Boots,14,5.0,25.0,1,2,3
Ancient Totem Boots,15,1.0,25.0,1,2,6
Ancient Totem Bracelets,1,100.0,0.0,0,0,0
Ancient Totem Bracelets,2,100.0,0.0,0,0,0
Ancient Totem Bracelets,3,100.0,0.0,0,0,0
Ancient Totem Bracelets,4,100.0,0.0,0,0,1
Ancient Totem Bracelets,5,100.0,0.0,0,0,1
Ancient Totem Bracelets,6,100.0,0.0,0,0,1
Ancient Totem Bracelets,7,45.0,25.0,0,1,1
Ancient Totem Bracelets,8,40.0,25.0,0,2,1
Ancient Totem Bracelets,9,35.0,25.0,0,2,1
Ancient Totem Bracelets,10,30.0,25.0,1,2,3
Ancient Totem Bracelets,11,25.0,25.0,1,2,4
Ancient Totem Bracelets,12,20.0,25.0,1,2,7
Ancient Totem Bracelets,13,15.0,25.0,1,2,12
Ancient Totem Bracelets,14,5.0,25.0,1,2,18
Ancient Totem Bracelets,15,1.0,25.0,1,2,30
Ancient Totem Bubble Gun,1,100.0,0.0,0,0,1
Ancient Totem Bubble Gun,2,100.0,0.0,0,0,1
Ancient Totem Bubble Gun,3,100.0,0.0,0,0,1
Ancient Totem Bubble Gun,4,100.0,0.0,0,0,2
Ancient Totem Bubble Gun,5,100.0,0.0,0,0,2
Ancient Totem Bubble Gun,6,100.0,0.0,0,0,2
Ancient Totem Bubble Gun,7,45.0,25.0,0,1,3
Ancient Totem Bubble Gun,8,40.0,25.0,0,2,3
Ancient Totem Bubble Gun,9,35.0,25.0,0,2,3
Ancient Totem Bubble Gun,10,30.0,25.0,1,2,6
Ancient Totem Bubble Gun,11,25.0,25.0,1,2,9
Ancient Totem Bubble Gun,12,20.0,25.0,1,2,14
Ancient Totem Bubble Gun,13,15.0,25.0,1,2,24
Ancient Totem Bubble Gun,14,5.0,25.0,1,2,36
Ancient Totem Bubble Gun,15,1.0,25.0,1,2,61
Ancient Totem Cannon,1,100.0,0.0,0,0,1
Ancient Totem Cannon,2,100.0,0.0,0,0,1
Ancient Totem Cannon,3,100.0,0.0,0,0,1
Ancient Totem Cannon,4,100.0,0.0,0,0,2
Ancient Totem Cannon,5,100.0,0.0,0,0,2
Ancient Totem Cannon,6,100.0,0.0,0,0,2
Ancient Totem Cannon,7,45.0,25.0,0,1,3
Ancient Totem Cannon,8,40.0,25.0,0,2,3
Ancient Totem Cannon,9,35.0,25.0,0,2,3
Ancient Totem Cannon,10,30.0,25.0,1,2,6
Ancient Totem Cannon,11,25.0,25.0,1,2,9
Ancient Totem Cannon,12,20.0,25.0,1,2,14
Ancient Totem Cannon,13,15.0,25.0,1,2,24
Ancient Totem Cannon,14,5.0,25.0,1,2,36
Ancient Totem Cannon,15,1.0,25.0,1,2,61
Ancient Totem Chakram,1,100.0,0.0,0,0,1
Ancient Totem Chakram,2,100.0,0.0,0,0,1
Ancient Totem Chakram,3,100.0,0.0,0,0,1
Ancient Totem Chakram,4,100.0,0.0,0,0,2
Ancient Totem Chakram,5,100.0,0.0,0,0,2
Ancient Totem Chakram,6,100.0,0.0,0,0,2
Ancient Totem Chakram,7,45.0,25.0,0,1,3
Ancient Totem Chakram,8,40.0,25.0,0,2,3
Ancient Totem Chakram,9,35.0,25.0,0,2,3
Ancient Totem Chakram,10,30.0,25.0,1,2,6
Ancient Totem Chakram,11,25.0,25.0,1,2,9
Ancient Totem Chakram,12,20.0,25.0,1,2,14
Ancient Totem Chakram,13,15.0,25.0,1,2,24
Ancient Totem Chakram,14,5.0,25.0,1,2,36
Ancient Totem Chakram,15,1.0,25.0,1,2,61
Ancient Totem Charm,1,100.0,0.0,0,0,0
Ancient Totem Charm,2,100.0,0.0,0,0,0
Ancient Totem Charm,3,100.0,0.0,0,0,0
Ancient Totem Charm,4,100.0,0.0,0,0,1
Ancient Totem Charm,5,100.0,0.0,0,0,1
Ancient Totem Charm,6,100.0,0.0,0,0,1
Ancient Totem Charm,7,45.0,25.0,0,1,1
Ancient Totem Charm,8,40.0,25.0,0,2,1
Ancient Totem Charm,9,35.0,25.0,0,2,1
Ancient Totem Charm,10,30.0,25.0,1,2,3
Ancient Totem Charm,11,25.0,25.0,1,2,4
Ancient Totem Charm,12,20.0,25.0,1,2,7
Ancient Totem Charm,13,15.0,25.0,1,2,12
Ancient Totem Charm,14,5.0,25.0,1,2,18
Ancient Totem Charm,15,1.0,25.0,1,2,30
Ancient Totem Chori,1,100.0,0.0,0,0,0
Ancient Totem Chori,2,100.0,0.0,0,0,0
Ancient Totem Chori,3,100.0,0.0,0,0,0
Ancient Totem Chori,4,100.0,0.0,0,0,0
Ancient Totem Chori,5,100.0,0.0,0,0,0
Ancient Totem Chori,6,100.0,0.0,0,0,0
Ancient Totem Chori,7,45.0,25.0,0,1,1
